ROADMAP-2026-06-14-serve-api-tests-nodejs.md	1	acceptance_evidence	evidence	ML-1A: 2 criteria met
ROADMAP-2026-06-14-serve-api-tests-nodejs.md	1	mls_complete	evidence	ML-1A: ✅
ROADMAP-2026-06-19-architect-command-guidelines.md	1	acceptance_evidence	evidence	ML-1A: 3 criteria met
ROADMAP-2026-06-19-architect-command-guidelines.md	1	acceptance_evidence	evidence	ML-1B: 2 criteria met
ROADMAP-2026-06-19-architect-command-guidelines.md	1	acceptance_evidence	evidence	ML-1C: 2 criteria met
ROADMAP-2026-06-19-architect-command-guidelines.md	1	mls_complete	evidence	ML-1A: ✅
ROADMAP-2026-06-19-architect-command-guidelines.md	1	mls_complete	evidence	ML-1B: ✅
ROADMAP-2026-06-19-architect-command-guidelines.md	1	mls_complete	evidence	ML-1C: ✅
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	1	acceptance_evidence	evidence	ML-1A: 3 criteria met
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	1	mls_complete	evidence	ML-1A: ✅
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	acceptance_evidence	evidence	ML-2A: 3 criteria met
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	acceptance_evidence	evidence	ML-2B: 2 criteria met
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	acceptance_evidence	evidence	ML-2C: 2 criteria met
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	acceptance_evidence	evidence	ML-2D: 2 criteria met
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	acceptance_evidence	evidence	ML-2E: 2 criteria met
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	acceptance_evidence	evidence	ML-2F: 1 criteria met
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	acceptance_evidence	evidence	ML-2G: 2 criteria met
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	mls_complete	evidence	ML-2A: ✅
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	mls_complete	evidence	ML-2B: ✅
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	mls_complete	evidence	ML-2C: ✅
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	mls_complete	evidence	ML-2D: ✅
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	mls_complete	evidence	ML-2E: ✅
ROADMAP-2026-06-20-attention-hooks-agent-clis.md	2	mls_complete	evidence	ML-2F: ✅
